Indicator,Time Period,Parent Code,Parent Name,Area Code,Area Name,Value,Lower CI,Upper CI,Count,Denominator,Sex,Age,Note
Deprivation,2012,,,E12000001,North East region,32.49,32.43,32.55,845488.00,2602310.00,Persons,All ages,
Deprivation,2012,,,E12000002,North West region,32.76,32.72,32.79,2320530.00,7084337.00,Persons,All ages,
Deprivation,2012,,,E12000003,Yorkshire and the Humber region,27.78,27.74,27.81,1476805.00,5316691.00,Persons,All ages,
Deprivation,2012,,,E12000004,East Midlands region,16.95,16.92,16.99,774299.00,4567731.00,Persons,All ages,
Deprivation,2012,,,E12000005,West Midlands region,28.80,28.76,28.84,1625043.00,5642569.00,Persons,All ages,
Deprivation,2012,,,E12000006,East of England region,7.72,7.70,7.74,456183.00,5907348.00,Persons,All ages,
Deprivation,2012,,,E12000007,London region,27.54,27.51,27.57,2288138.00,8308369.00,Persons,All ages,
Deprivation,2012,,,E12000008,South East region,7.27,7.25,7.29,634261.00,8724737.00,Persons,All ages,
Deprivation,2012,,,E12000009,South West region,9.04,9.02,9.07,482834.00,5339637.00,Persons,All ages,
Deprivation,2013,,,E12000001,North East region,32.46,32.40,32.52,847339.00,2610481.00,Persons,All ages,
Deprivation,2013,,,E12000002,North West region,32.83,32.80,32.87,2332263.00,7103260.00,Persons,All ages,
Deprivation,2013,,,E12000003,Yorkshire and the Humber region,27.85,27.81,27.89,1486535.00,5337710.00,Persons,All ages,
Deprivation,2013,,,E12000004,East Midlands region,16.98,16.95,17.01,780832.00,4598729.00,Persons,All ages,
Deprivation,2013,,,E12000005,West Midlands region,29.13,29.10,29.17,1624651.00,5576291.00,Persons,All ages,
Deprivation,2013,,,E12000006,East of England region,7.74,7.72,7.76,460899.00,5954169.00,Persons,All ages,
Deprivation,2013,,,E12000007,London region,27.65,27.62,27.68,2327343.00,8416535.00,Persons,All ages,
Deprivation,2013,,,E12000008,South East region,7.28,7.26,7.30,639993.00,8792626.00,Persons,All ages,
Deprivation,2013,,,E12000009,South West region,9.08,9.05,9.10,488071.00,5377595.00,Persons,All ages,
Children in poverty (under 16s),2006,,,E12000001,North East region,24.75,24.63,24.87,115560.00,466935.00,Persons,<16 yrs,
Children in poverty (under 16s),2006,,,E12000002,North West region,23.74,23.66,23.81,312835.00,1318015.00,Persons,<16 yrs,
Children in poverty (under 16s),2006,,,E12000003,Yorkshire and the Humber region,22.23,22.14,22.31,214910.00,966950.00,Persons,<16 yrs,
Children in poverty (under 16s),2006,,,E12000004,East Midlands region,18.87,18.79,18.96,153060.00,810960.00,Persons,<16 yrs,
Children in poverty (under 16s),2006,,,E12000005,West Midlands region,24.05,23.97,24.14,253840.00,1055320.00,Persons,<16 yrs,
Children in poverty (under 16s),2006,,,E12000006,East of England region,16.73,16.66,16.80,175640.00,1050065.00,Persons,<16 yrs,
Children in poverty (under 16s),2006,,,E12000007,London region,32.69,32.61,32.76,480845.00,1471145.00,Persons,<16 yrs,
Children in poverty (under 16s),2006,,,E12000008,South East region,15.31,15.26,15.37,234015.00,1528210.00,Persons,<16 yrs,
Children in poverty (under 16s),2006,,,E12000009,South West region,16.60,16.53,16.68,148875.00,896675.00,Persons,<16 yrs,
Children in poverty (under 16s),2007,,,E12000001,North East region,25.35,25.22,25.47,117125.00,462115.00,Persons,<16 yrs,
Children in poverty (under 16s),2007,,,E12000002,North West region,24.44,24.36,24.51,319265.00,1306480.00,Persons,<16 yrs,
Children in poverty (under 16s),2007,,,E12000003,Yorkshire and the Humber region,23.06,22.98,23.15,222290.00,963895.00,Persons,<16 yrs,
Children in poverty (under 16s),2007,,,E12000004,East Midlands region,19.44,19.36,19.53,157995.00,812670.00,Persons,<16 yrs,
Children in poverty (under 16s),2007,,,E12000005,West Midlands region,24.93,24.84,25.01,262040.00,1051215.00,Persons,<16 yrs,
Children in poverty (under 16s),2007,,,E12000006,East of England region,17.14,17.07,17.21,180845.00,1055085.00,Persons,<16 yrs,
Children in poverty (under 16s),2007,,,E12000007,London region,33.30,33.23,33.38,491600.00,1476140.00,Persons,<16 yrs,
Children in poverty (under 16s),2007,,,E12000008,South East region,15.58,15.53,15.64,238745.00,1532105.00,Persons,<16 yrs,
Children in poverty (under 16s),2007,,,E12000009,South West region,16.86,16.78,16.94,151785.00,900275.00,Persons,<16 yrs,
Children in poverty (under 16s),2008,,,E12000001,North East region,24.96,24.84,25.09,114470.00,458535.00,Persons,<16 yrs,
Children in poverty (under 16s),2008,,,E12000002,North West region,23.46,23.39,23.53,305070.00,1300390.00,Persons,<16 yrs,
Children in poverty (under 16s),2008,,,E12000003,Yorkshire and the Humber region,22.05,21.97,22.14,212785.00,964860.00,Persons,<16 yrs,
Children in poverty (under 16s),2008,,,E12000004,East Midlands region,19.09,19.00,19.17,155200.00,813080.00,Persons,<16 yrs,
Children in poverty (under 16s),2008,,,E12000005,West Midlands region,24.02,23.94,24.11,252815.00,1052310.00,Persons,<16 yrs,
Children in poverty (under 16s),2008,,,E12000006,East of England region,16.80,16.73,16.88,178000.00,1059250.00,Persons,<16 yrs,
Children in poverty (under 16s),2008,,,E12000007,London region,31.17,31.09,31.24,468980.00,1504640.00,Persons,<16 yrs,
Children in poverty (under 16s),2008,,,E12000008,South East region,15.18,15.13,15.24,233325.00,1536785.00,Persons,<16 yrs,
Children in poverty (under 16s),2008,,,E12000009,South West region,16.47,16.39,16.54,148325.00,900720.00,Persons,<16 yrs,
Children in poverty (under 16s),2009,,,E12000001,North East region,25.38,25.25,25.50,117000.00,461045.00,Persons,<16 yrs,
